SchID,WettID,Platz,Ergebnis,Funktion
1000,100,1,450,'Teilnehmer'
1000,106,1,0,'Teilnehmer'
1001,101,3,340,'Teilnehmer'
1001,107,2,0,'Teilnehmer'
1002,101,2,365,'Teilnehmer'
1002,107,1,0,'Teilnehmer'
1003,100,2,440,'Teilnehmer'
1003,106,2,0,'Teilnehmer'
1004,100,3,415,'Teilnehmer'
1004,106,2,0,'Teilnehmer'
1005,100,0,0,'krank'
1006,100,4,390,'Teilnehmer'
1007,103,2,130,'Teilnehmer'
1007,109,1,0,'Teilnehmer'
1008,102,0,0,'krank'
1009,102,1,122,'Teilnehmer'
1009,108,1,0,'Teilnehmer'
1010,102,2,130,'Teilnehmer'
1010,108,2,0,'Teilnehmer'
1011,102,3,132,'Teilnehmer'
1011,108,2,0,'Teilnehmer'
1012,102,4,133,'Teilnehmer'
1012,108,2,0,'Teilnehmer'
1013,104,1,830,'Teilnehmer'
1014,105,1,655,'Teilnehmer'
1015,104,2,812,'Teilnehmer'
1016,104,0,0,'krank'
1017,105,1,655,'Teilnehmer'
1018,100,0,0,'Helfer'
1019,101,0,0,'Helfer'
1020,107,0,0,'Helfer'
