SELECT * FROM eingeschrieben;
sid;knr;zeits
4;1;0000-01-01T14:57:59.421899Z
5;1;0000-01-01T14:57:59.421899Z
6;1;0000-01-01T14:57:59.421899Z
9;5;0000-01-01T14:57:59.421899Z
8;5;0000-01-01T14:57:59.421899Z
5;6;0000-01-01T14:57:59.421899Z
6;6;0000-01-01T14:57:59.421899Z
5;2;0000-01-01T14:57:59.468874Z
7;2;0000-01-01T14:57:59.468874Z
8;2;0000-01-01T14:57:59.468874Z
9;2;0000-01-01T14:57:59.468874Z
9;3;0000-01-01T14:57:59.468874Z
4;3;0000-01-01T14:57:59.468874Z
5;4;0000-01-01T14:57:59.468874Z
4;4;0000-01-01T14:57:59.468874Z
8;7;0000-01-01T14:57:59.468874Z
10;7;0000-01-01T14:57:59.468874Z
12;7;0000-01-01T14:57:59.468874Z
8;8;0000-01-01T14:57:59.468874Z
11;8;0000-01-01T14:57:59.468874Z
13;8;0000-01-01T14:57:59.468874Z
8;9;0000-01-01T14:57:59.468874Z
6;9;0000-01-01T14:57:59.468874Z
5;9;0000-01-01T14:57:59.468874Z
8;10;0000-01-01T14:57:59.468874Z
5;10;0000-01-01T14:57:59.468874Z
15;10;0000-01-01T14:57:59.468874Z
8;11;0000-01-01T14:57:59.468874Z
5;11;0000-01-01T14:57:59.468874Z
